id,recipeId,ingredientName,quantityUsed,unitType,unitCost,updatedAt,inventoryId
8820,4,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8821,4,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,
8822,4,Sugar Free Simple Syrup,6,Per Oz,0.13,2026-04-03 13:42:21.669548,
8833,6,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8834,6,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8835,6,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8836,6,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8837,6,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8838,6,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8839,6,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8840,6,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,
8841,6,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,
8842,6,Sugar Free Simple Syrup,6,Per Oz,0.13,2026-04-03 13:42:21.669548,
8843,7,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8844,7,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8845,7,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8846,7,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8847,7,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8848,7,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8849,7,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8850,7,Lime,2,Per Cup,0.22,2026-04-03 13:42:21.669548,
8851,7,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,
8852,7,Sweetened Condensed Milk,2,Per Oz,0.14,2026-04-03 13:42:21.669548,
8863,9,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8864,9,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8865,9,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8866,9,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
